fips_code,years,y_true,lr_preds,ffill_preds,yr_mean_preds,county_mean_preds,euc_preds,hav_preds,euc_exp_smooth_preds,hav_exp_smooth_preds,k_Nearest_One_pred,k5_Nearest_Mean_pred,k5_Weighted_pred,kRad_Mean_pred
39071,2004,153.0,140.1009109433062,124.1,120.0217391304348,150.16362484157176,151.0573173374171,151.73161160781615,152.89704168591322,153.7366030674106,174.9,156.56,157.0250286125301,151.28108108108106
39075,2015,138.7,147.08684210526326,154.3,115.1,161.56754716981126,154.73027731767237,155.52864482554716,144.8986228297028,146.22065301144343,138.3,141.96,140.0586314582166,147.015625
39077,1996,110.2,129.511082199881,124.2,124.49347826086954,118.53211586901764,114.37572931315016,115.1978310693858,111.02269188340713,111.90766799956893,112.9,113.1,113.01359496600324,110.48461538461538
39083,1978,95.9,95.09752397135571,108.6,119.3478260869565,94.24247787610607,96.15434011824277,96.85465572570358,98.63244118033313,99.36689145597724,95.0,97.58000000000001,97.35065638347359,102.92820512820511
39089,2007,155.4,142.20653120464476,156.5,118.45434782608694,137.8628318584071,138.1964721848043,139.00486096400417,145.2623778327689,145.61816029848674,146.6,155.32,154.88302596857548,149.67894736842103
39091,2015,142.1,162.88080200501236,165.2,121.86739130434782,161.56754716981126,156.9945803369315,157.19627763617683,153.95287389455626,153.04137719147775,179.9,147.07999999999998,148.9223225414043,152.03207547169808
39093,1995,125.8,116.62628841607557,130.5,113.20217391304348,108.26111111111109,111.32219021255847,111.49669808625677,116.55902141454006,116.96128070756018,120.2,122.64000000000001,121.83585761616672,118.17741935483872
39095,1987,108.5,123.20747508305612,147.4,133.78478260869565,110.7728070175439,111.9111788266977,112.48664311579417,111.40098147435606,111.73108037650978,108.5,107.22,107.36289125698943,113.66511627906978
39097,1994,149.5,130.89901926030961,120.4,128.88478260869567,129.3335868187579,131.4831493585829,132.12171476879547,135.11790440025135,136.01193315825614,149.3,137.52000000000004,138.1741937472172,137.13541666666666
39099,2011,138.6,135.46815724815724,145.5,109.92826086956521,138.54781523096125,136.9623605314219,137.9067940618289,137.9507531521624,137.9433938466916,138.7,132.94,135.19086769680627,138.2
39101,1993,118.3,124.6826086956521,155.7,124.68260869565215,91.97652284263961,102.33716997531488,102.47601857810024,109.60870648623796,109.7019203866663,108.9,112.7,112.36027866518755,110.08000000000001
39103,1990,111.0,105.41638083973976,96.6,109.6695652173913,109.4997487437185,111.98160138147283,112.96284249250074,116.42222980888249,117.31444843999424,119.8,119.04,119.08688692006203,118.97241379310344
39107,1997,149.4,131.6340909090909,104.6,125.18260869565216,117.3501891551072,120.88065478406683,121.42963355628204,129.6227835499223,130.08662796933805,145.6,140.04,140.65352938888086,132.42295081967214
39109,1975,101.1,97.11570024570074,86.9,129.24565217391304,79.47157232704407,86.30132371030395,86.64961218197995,92.57076686252414,92.92943507608003,100.4,99.84,99.49048621114896,92.13636363636363
39113,1974,82.3,91.53201283475255,86.9,122.1717391304348,69.18417085427141,73.16579689946701,73.45136867509486,78.57658049774646,79.37790349882586,91.4,84.2,84.86804547718174,76.46923076923078
39115,2014,160.0,128.97810046117456,136.4,104.9565217391304,165.62578616352187,165.62971925389272,166.57911555873713,164.36339728717263,165.98631324620024,175.6,164.84,164.93647646498536,164.06000000000003
39117,1991,83.2,115.17472813238783,109.9,118.64565217391306,101.6375939849625,96.3582744972676,96.57820340875475,91.1139259917542,90.96340155423466,89.2,87.67999999999999,87.52613609011178,92.946511627907
39119,1987,119.8,108.27021831988623,125.4,118.09782608695654,110.7728070175439,109.02687842430004,109.96768914318378,109.59063822245786,110.76180303233716,123.3,111.32000000000001,110.84632404791917,114.65925925925924
39123,1985,122.2,107.4167619047621,110.0,121.7195652173913,111.6290726817042,116.22194280759089,116.37191414018388,126.60166160139882,125.96742549940657,136.0,132.45999999999998,133.56261469157593,122.93947368421053
39125,2005,148.4,138.51668269230777,160.6,121.19565217391306,139.82864321608037,142.43380057658075,143.0201811725148,149.40482386120223,149.8955951238279,154.2,157.6,156.52030684629094,150.9611111111111
39129,2010,165.9,148.89016513761453,181.7,120.32391304347823,142.42332065906206,144.41745656330275,144.80604194967827,153.52325790060584,154.19800688461697,168.3,163.1,164.6592102571187,157.14249999999998
39135,1993,128.0,127.14130434782601,157.6,127.14130434782615,91.97652284263961,106.68567978223243,106.85376168636851,120.0233184347567,120.99839270629946,132.4,124.2,124.32584217858731,124.98888888888892
39137,1991,111.5,123.83881796690275,127.5,127.03478260869562,101.6375939849625,99.4324954530717,99.54524720980345,101.48151045813484,101.21625029019157,103.6,110.92,110.53422075704621,98.13461538461537
39139,1997,112.2,124.75232007575778,107.8,118.1304347826087,117.3501891551072,118.53528100180955,119.09609831530462,124.15716126297329,124.64479474637551,139.3,126.3,127.10913545573618,129.9846153846154
39143,1971,93.0,90.96734335839619,77.0,130.71086956521734,80.83089533417407,84.3148423130904,84.8802808841345,89.55169318831572,89.71044960369218,92.0,96.2,95.52148345486808,86.58536585365853
39147,1978,112.2,101.16663430027893,111.1,124.08913043478262,94.24247787610607,96.77010785914712,97.2714888241849,101.25148506002085,101.31960704155674,110.9,101.52000000000001,102.98680080155187,100.65227272727275
